name,type,nodes,value_type,value,subckt 
m27,MOS,ib/ib/agnd/agnd/,wide/long,180n/2u,zhediegongyuangongshan
m20,MOS,net35/vbn1/agnd/agnd/,wide/long,3u/4u,zhediegongyuangongshan
m11,MOS,net38/vbn2/agnd/agnd/,wide/long,3u/4u,zhediegongyuangongshan
m21,MOS,vbp2/ib/agnd/agnd/,wide/long,180n/2u,zhediegongyuangongshan
m18,MOS,vbn1/vbn2/net35/agnd/,wide/long,1u/4u,zhediegongyuangongshan
m22,MOS,vbp1/ib/agnd/agnd/,wide/long,180n/2u,zhediegongyuangongshan
m16,MOS,vbn2/vbn2/net38/agnd/,wide/long,1u/4u,zhediegongyuangongshan
m6,MOS,net30/vip/net14/agnd/,wide/long,180n/2u,zhediegongyuangongshan
m5,MOS,net31/vin/net14/agnd/,wide/long,180n/2u,zhediegongyuangongshan
m4,MOS,net14/vbn1/agnd/agnd/,wide/long,3u/4u,zhediegongyuangongshan
m3,MOS,net46/net17/agnd/agnd/,wide/long,3u/4u,zhediegongyuangongshan
m2,MOS,net47/net17/agnd/agnd/,wide/long,3u/4u,zhediegongyuangongshan
m1,MOS,vo/vbn2/net46/agnd/,wide/long,1u/4u,zhediegongyuangongshan
m0,MOS,net17/vbn2/net47/agnd/,wide/long,1u/4u,zhediegongyuangongshan
m26,MOS,vbp1/vbp2/net33/avdd/,wide/long,1u/8u,zhediegongyuangongshan
m25,MOS,vbp2/vbp2/net34/avdd/,wide/long,1u/8u,zhediegongyuangongshan
m24,MOS,net33/vbp1/avdd/avdd/,wide/long,3u/8u,zhediegongyuangongshan
m23,MOS,net34/vbp2/avdd/avdd/,wide/long,3u/8u,zhediegongyuangongshan
m15,MOS,vbn1/vbp2/net36/avdd/,wide/long,1u/8u,zhediegongyuangongshan
m14,MOS,vbn2/vbp2/net37/avdd/,wide/long,1u/8u,zhediegongyuangongshan
m13,MOS,net36/vbp1/avdd/avdd/,wide/long,3u/8u,zhediegongyuangongshan
m12,MOS,net37/vbp1/avdd/avdd/,wide/long,3u/8u,zhediegongyuangongshan
m10,MOS,net17/vbp2/net30/avdd/,wide/long,1u/8u,zhediegongyuangongshan
m9,MOS,net30/vbp1/avdd/avdd/,wide/long,3u/8u,zhediegongyuangongshan
m8,MOS,net31/vbp1/avdd/avdd/,wide/long,3u/8u,zhediegongyuangongshan
m7,MOS,vo/vbp2/net31/avdd/,wide/long,1u/8u,zhediegongyuangongshan
r1,R,agnd/0/,R/AC,0k/0,
v0,v,avdd/0/,DC,1.8,
ib,i,ib/0/,DC,3.2u,
v1,v,vin/0/,DC,0.9,
v2,v,vip/0/,DC,0.9,
